Prompt,Response
"""Patient is 50 years old","Female. Symptoms include Fever, Shortness of breath, Fatigue. Heart rate: 64 bpm, Body temperature: 37.7°C, Blood pressure: 143/89, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 62 years old","Male. Symptoms include Shortness of breath, Sore throat, Fever. Heart rate: 77 bpm, Body temperature: 37.8°C, Blood pressure: 117/70, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 58 years old","Male. Symptoms include Cough, Body ache, Runny nose. Heart rate: 89 bpm, Body temperature: 39.4°C, Blood pressure: 172/117, Oxygen saturation: 95%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 42 years old","Female. Symptoms include Shortness of breath, Fatigue, Sore throat. Heart rate: 78 bpm, Body temperature: 38.5°C, Blood pressure: 154/89, Oxygen saturation: 97%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 68 years old","Female. Symptoms include Headache, Shortness of breath, Fever. Heart rate: 91 bpm, Body temperature: 38.1°C, Blood pressure: 135/106, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 23 years old","Male. Symptoms include Sore throat, Headache, Body ache. Heart rate: 101 bpm, Body temperature: 38.4°C, Blood pressure: 151/82, Oxygen saturation: 99%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 58 years old","Female. Symptoms include Runny nose, Sore throat, Fatigue. Heart rate: 113 bpm, Body temperature: 39.8°C, Blood pressure: 168/73, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 52 years old","Male. Symptoms include Cough, Shortness of breath, Fever. Heart rate: 79 bpm, Body temperature: 37.5°C, Blood pressure: 164/63, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 23 years old","Male. Symptoms include Body ache, Headache, Runny nose. Heart rate: 66 bpm, Body temperature: 37.4°C, Blood pressure: 92/100, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 76 years old","Female. Symptoms include Headache, Sore throat, Body ache. Heart rate: 93 bpm, Body temperature: 39.1°C, Blood pressure: 159/96, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 62 years old","Male. Symptoms include Cough, Fatigue, Body ache. Heart rate: 83 bpm, Body temperature: 39.4°C, Blood pressure: 123/65, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 55 years old","Female. Symptoms include Sore throat, Runny nose, Fatigue. Heart rate: 87 bpm, Body temperature: 38.3°C, Blood pressure: 159/113, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 58 years old","Female. Symptoms include Runny nose, Shortness of breath, Fatigue. Heart rate: 106 bpm, Body temperature: 36.9°C, Blood pressure: 159/107, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 74 years old","Female. Symptoms include Shortness of breath, Runny nose, Sore throat. Heart rate: 76 bpm, Body temperature: 36.1°C, Blood pressure: 91/78, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 24 years old","Female. Symptoms include Headache, Sore throat, Body ache. Heart rate: 76 bpm, Body temperature: 39.3°C, Blood pressure: 114/62, Oxygen saturation: 95%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 33 years old","Male. Symptoms include Body ache, Sore throat, Shortness of breath. Heart rate: 102 bpm, Body temperature: 37.6°C, Blood pressure: 150/93, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 25 years old","Male. Symptoms include Fatigue, Sore throat, Shortness of breath. Heart rate: 73 bpm, Body temperature: 37.1°C, Blood pressure: 152/96, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 53 years old","Male. Symptoms include Sore throat, Runny nose, Cough. Heart rate: 110 bpm, Body temperature: 37.5°C, Blood pressure: 143/110, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 70 years old","Female. Symptoms include Fatigue, Runny nose, Sore throat. Heart rate: 117 bpm, Body temperature: 36.2°C, Blood pressure: 131/74, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 25 years old","Male. Symptoms include Fatigue, Runny nose, Fever. Heart rate: 105 bpm, Body temperature: 39.9°C, Blood pressure: 152/73, Oxygen saturation: 95%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 64 years old","Female. Symptoms include Cough, Runny nose, Shortness of breath. Heart rate: 95 bpm, Body temperature: 37.9°C, Blood pressure: 93/65, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 39 years old","Female. Symptoms include Sore throat, Body ache, Headache. Heart rate: 100 bpm, Body temperature: 38.0°C, Blood pressure: 93/90, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 53 years old","Female. Symptoms include Fever, Fatigue, Headache. Heart rate: 96 bpm, Body temperature: 37.9°C, Blood pressure: 161/101, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 54 years old","Female. Symptoms include Sore throat, Cough, Headache. Heart rate: 102 bpm, Body temperature: 37.5°C, Blood pressure: 119/109, Oxygen saturation: 93%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 24 years old","Female. Symptoms include Sore throat, Runny nose, Headache. Heart rate: 106 bpm, Body temperature: 36.8°C, Blood pressure: 113/71, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 30 years old","Male. Symptoms include Headache, Shortness of breath, Fatigue. Heart rate: 75 bpm, Body temperature: 36.2°C, Blood pressure: 154/61, Oxygen saturation: 90%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 31 years old","Male. Symptoms include Body ache, Fever, Runny nose. Heart rate: 68 bpm, Body temperature: 36.5°C, Blood pressure: 99/78, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 69 years old","Female. Symptoms include Cough, Fever, Fatigue. Heart rate: 107 bpm, Body temperature: 39.8°C, Blood pressure: 173/92, Oxygen saturation: 99%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 70 years old","Female. Symptoms include Cough, Headache, Runny nose. Heart rate: 76 bpm, Body temperature: 36.6°C, Blood pressure: 108/105, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 57 years old","Male. Symptoms include Runny nose, Shortness of breath, Fatigue. Heart rate: 105 bpm, Body temperature: 39.7°C, Blood pressure: 103/93, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 36 years old","Male. Symptoms include Sore throat, Shortness of breath, Runny nose. Heart rate: 97 bpm, Body temperature: 36.8°C, Blood pressure: 129/92, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 79 years old","Male. Symptoms include Fatigue, Cough, Body ache. Heart rate: 64 bpm, Body temperature: 39.3°C, Blood pressure: 114/117, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 36 years old","Female. Symptoms include Headache, Runny nose, Sore throat. Heart rate: 81 bpm, Body temperature: 36.5°C, Blood pressure: 98/96, Oxygen saturation: 96%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 67 years old","Male. Symptoms include Fatigue, Fever, Cough. Heart rate: 118 bpm, Body temperature: 38.6°C, Blood pressure: 123/78, Oxygen saturation: 95%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 57 years old","Male. Symptoms include Fever, Fatigue, Runny nose. Heart rate: 84 bpm, Body temperature: 36.9°C, Blood pressure: 133/68, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 28 years old","Female. Symptoms include Shortness of breath, Sore throat, Cough. Heart rate: 109 bpm, Body temperature: 36.7°C, Blood pressure: 109/108, Oxygen saturation: 99%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 31 years old","Female. Symptoms include Shortness of breath, Body ache, Sore throat. Heart rate: 77 bpm, Body temperature: 37.0°C, Blood pressure: 151/84, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 59 years old","Female. Symptoms include Runny nose, Shortness of breath, Sore throat. Heart rate: 66 bpm, Body temperature: 38.3°C, Blood pressure: 94/100, Oxygen saturation: 95%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 45 years old","Female. Symptoms include Headache, Runny nose, Body ache. Heart rate: 117 bpm, Body temperature: 37.6°C, Blood pressure: 119/81, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 77 years old","Male. Symptoms include Fatigue, Fever, Headache. Heart rate: 117 bpm, Body temperature: 38.4°C, Blood pressure: 172/102, Oxygen saturation: 95%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 78 years old","Male. Symptoms include Body ache, Fever, Fatigue. Heart rate: 88 bpm, Body temperature: 38.0°C, Blood pressure: 159/75, Oxygen saturation: 94%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 36 years old","Female. Symptoms include Runny nose, Fatigue, Sore throat. Heart rate: 114 bpm, Body temperature: 36.8°C, Blood pressure: 173/108, Oxygen saturation: 98%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 66 years old","Female. Symptoms include Fatigue, Body ache, Headache. Heart rate: 90 bpm, Body temperature: 35.6°C, Blood pressure: 113/74, Oxygen saturation: 91%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 77 years old","Male. Symptoms include Fever, Runny nose, Sore throat. Heart rate: 61 bpm, Body temperature: 39.5°C, Blood pressure: 121/94, Oxygen saturation: 95%. What is the diagnosis and recommended treatment?,Diagnosis: Flu. Severity: Moderate. Recommended treatment: Medication and rest."
"""Patient is 47 years old","Female. Symptoms include Runny nose, Fatigue, Body ache. Heart rate: 119 bpm, Body temperature: 36.8°C, Blood pressure: 127/82, Oxygen saturation: 97%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
"""Patient is 26 years old","Male. Symptoms include Sore throat, Cough, Runny nose. Heart rate: 101 bpm, Body temperature: 35.6°C, Blood pressure: 93/104, Oxygen saturation: 92%. What is the diagnosis and recommended treatment?,Diagnosis: Bronchitis. Severity: Severe. Recommended treatment: Hospitalization and medication."
"""Patient is 75 years old","Male. Symptoms include Sore throat, Fatigue, Body ache. Heart rate: 82 bpm, Body temperature: 36.4°C, Blood pressure: 99/78, Oxygen saturation: 95%. What is the diagnosis and recommended treatment?,Diagnosis: Healthy. Severity: Mild. Recommended treatment: Rest and fluids."
